21ST CENTURY FOX CL A FOXA,FOXA
21ST CENTURY FOX CL B FOX,FOX
3M CO MMM,MMM
ABBOTT LABORATORIES ABT,ABT
ABBVIE INC ABBV,ABBV
ABIOMED INC ABMD,ABMD
ACADIA HEALTHCARE CO ACHC,ACHC
ACADIA PHARMACEUTICALS ACAD,ACAD
ACCENTURE PLC IRELAND ACN,ACN
ACTIVISION BLIZZARD INC ATVI,ATVI
ACUITY BRANDS INC AYI,AYI
ADIENT PLC ADNT,ADNT
ADOBE SYSTEMS INC ADBE,ADBE
ADVANCE AUTO PARTS INC AAP,AAP
ADVANCED MICRO DEVICES AMD,AMD
AECOM ACM,ACM
AES CORP AES,AES
AETNA INC AET,AET
AFFILIATED MANAGERS GRP AMG,AMG
AFLAC INC AFL,AFL
AGCO CORP AGCO,AGCO
AGILENT TECHNOLOGIES INC A,A
AGIOS PHARMACEUTICALS AGIO,AGIO
AGNC INVESTMENT AGNC,AGNC
AIR LEASE CORP AL,AL
AIR PRODS & CHEMS INC APD,APD
AKAMAI TECHNOLOGIES AKAM,AKAM
AKORN INC AKRX,AKRX
ALASKA AIR GROUP INC ALK,ALK
ALBEMARLE CORP ALB,ALB
ALCOA CORPORATION AA,AA
ALERE INC ALR,ALR
ALEXANDRIA REAL ESTATE   ARE,ARE
ALEXION PHARMACEUTICALS   ALXN,ALXN
ALIGN TECHNOLOGY Inc      ALGN,ALGN
ALKERMES PLC     ALKS,ALKS
ALLEGHANY CORP       Y,Y
ALLEGION PLC        ALLE,ALLE
ALLERGAN PLC       AGN,AGN
ALLIANCE DATA SYSTEMS      ADS,ADS
ALLIANT ENERGY CORP      LNT,LNT
ALLIED WRLD ASSUR COM      AWH,AWH
ALLISON TRANSMISSION      ALSN,ALSN
ALLSTATE CORP       ALL,ALL
ALLY FINL INC        ALLY,ALLY
ALNYLAM PHARMACEUTICALS      ALNY,ALNY
ALPHABET INC CL A       GOOGL,GOOGL
ALPHABET INC CL C GOOG,GOOG
ALTRIA GROUP INC       MO,MO
AMAZON COM INC       AMZN,AMZN
AMC NETWORKS INC       AMCX,AMCX
AMDOCS LTD        DOX,DOX
AMERCO        UHAL,UHAL
AMEREN CORP        AEE,AEE
AMERICAN AIRLINES GROUP      AAL,AAL
AMERICAN CAMPUS COMMUN      ACC,ACC
AMERICAN ELECTRIC POWER      AEP,AEP
AMERICAN EXPRESS CO      AXP,AXP
AMERICAN FINANCIAL GROUP      AFG,AFG
AMERICAN HOMES 4 RENT      AMH,AMH
AMERICAN INTL GROUP      AIG,AIG
AMERICAN NATIONAL INS CO      ANAT,ANAT
AMERICAN TOWER CORP      AMT,AMT
AMERICAN WTR WKS CO INC      AWK,AWK
AMERIPRISE FINANCIAL INC      AMP,AMP
AMERISOURCEBERGEN CORP      ABC,ABC
AMETEK INC        AME,AME
AMGEN INC        AMGN,AMGN
AMPHENOL CORP       APH,APH
ANADARKO PETROLEUM CORP      APC,APC
ANALOG DEVICES INC       ADI,ADI
ANNALY CAPITAL MGMT INC      NLY,NLY
ANSYS INC        ANSS,ANSS
ANTERO RESOURCES CO      AR,AR
ANTHEM INC        ANTM,ANTM
AON PLC        AON,AON
APACHE CORP        APA,APA
APARTMENT INVT & MGMT      AIV,AIV
APPLE HOSPITALITY REIT      APLE,APLE
APPLE INC AAPL,AAPL
APPLIED MATLS INC AMAT,AMAT
APTARGROUP INC ATR,ATR
AQUA AMERICA INC WTR,WTR
ARAMARK ARMK,ARMK
ARCH CAP GROUP LTD ACGL,ACGL
